Cinsiyet,YaşGrubu,Mevcutdurum,KiminleYaşıyorsunuz,GelirDüzeyiAlgınız,GünlükAkıllıTelefonKullanımSüreniz,TelefonuTemelKullanımAmacınız,TelefonuGeceUyandığınızdaKontrolEtmeSıklığınız,PsikolojikDestekAlınmaDurumu,KronikBirRahatsızlığınızVarmı,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,Telefonunuzugüniçindeençokhangiamaçlakullanıyorsunuz,MaviIşıkKullanımı,Akıllıtelefonbildirimlerinizgeceuyurkenaçıkmıduruyor,Güniçindeteknolojikcihazlardantelefonbilgisayarvb.tamamenuzakk,a1,a2,a3,a4,a5,a6,akilliTelefonOlcek,uykuKalitesiOlcek
Erkek,26-45,Çalışan,Çekirdek Aile,Orta,0-2 Saat,Vakit Geçirme,Hiçbir Zaman,Hayır,Hayır,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,Sadece önemli kişiler için açık,Nadiren,1.0,1.0,3.0,3.0,2.0,2.0,37.0,12.0
Erkek,46-66,Emekli,Çekirdek Aile,Düşük,6+ Saat,İş/Eğitim,Nadiren,Evet,Evet,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,İş veya eğitimle ilgili yazışmalar,Hayır,Sadece önemli kişiler için açık,Nadiren,2.0,2.0,3.0,3.0,1.0,1.0,49.0,12.0
Erkek,18-25,Öğrenci,Yalnız,Orta,4-6 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,Haber okuma ve bilgi edinme,Hayır,Sadece önemli kişiler için açık,"Evet, düzenli olarak",1.0,2.0,1.0,1.0,3.0,3.0,33.0,11.0
Erkek,26-45,Çalışan,Çekirdek Aile,Orta,6+ Saat,Haberleşme,Hiçbir Zaman,Hayır,Hayır,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,İş veya eğitimle ilgili yazışmalar,Hayır,"Hayır, tamamen sessizde veya uçak modunda","Evet, düzenli olarak",1.0,1.0,3.0,2.0,2.0,1.0,54.0,10.0
Erkek,26-45,Çalışan,Çekirdek Aile,Düşük,2-4 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,Sosyal Medya ve Eğlence,Hayır,"Evet, sesli/titreşimde",Nadiren,3.0,2.0,2.0,3.0,3.0,3.0,56.0,16.0
Erkek,18-25,Öğrenci,Yalnız,Orta,2-4 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,Haber okuma ve bilgi edinme,Hayır,"Hayır, tamamen sessizde veya uçak modunda","Evet, düzenli olarak",3.0,2.0,3.0,1.0,1.0,1.0,44.0,11.0
Erkek,18-25,Öğrenci,Yalnız,Düşük,6+ Saat,Vakit Geçirme,Nadiren,Hayır,Hayır,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda",Nadiren,2.0,3.0,1.0,1.0,2.0,2.0,32.0,11.0
Erkek,26-45,Çalışan,Çekirdek Aile,Orta,4-6 Saat,Haberleşme,Hiçbir Zaman,Hayır,Hayır,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,Haber okuma ve bilgi edinme,Hayır,Sadece önemli kişiler için açık,Nadiren,2.0,2.0,3.0,2.0,3.0,2.0,36.0,14.0
Kadın,18-25,Çalışan,Çekirdek Aile,Yüksek,6+ Saat,Eğlence/Sosyal Medya,Nadiren,Evet,Evet,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,İş veya eğitimle ilgili yazışmalar,Hayır,Sadece önemli kişiler için açık,Nadiren,1.0,2.0,3.0,1.0,3.0,2.0,37.0,12.0
Kadın,18-25,Öğrenci,Çekirdek Aile,Orta,6+ Saat,Eğlence/Sosyal Medya,Sıksık,Evet,Hayır,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,"Evet, sesli/titreşimde",Nadiren,3.0,3.0,3.0,3.0,3.0,3.0,40.0,18.0
Erkek,18-25,Öğrenci,Çekirdek Aile,Orta,6+ Saat,Eğlence/Sosyal Medya,Sıksık,Hayır,Hayır,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,Sosyal Medya ve Eğlence,Hayır,"Evet, sesli/titreşimde",Nadiren,1.0,2.0,2.0,2.0,1.0,2.0,35.0,10.0
Kadın,18-25,Öğrenci,Çekirdek Aile,Orta,4-6 Saat,Vakit Geçirme,Nadiren,Hayır,Hayır,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda",Nadiren,2.0,2.0,3.0,3.0,3.0,3.0,39.0,16.0
Erkek,46-66,Çalışan,Çekirdek Aile,Orta,4-6 Saat,İş/Eğitim,Sıksık,Hayır,Hayır,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,Sosyal Medya ve Eğlence,Hayır,"Evet, sesli/titreşimde","Hayır, hiç yok",3.0,1.0,1.0,1.0,1.0,1.0,38.0,8.0
Kadın,18-25,Öğrenci,Çekirdek Aile,Orta,6+ Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,Sosyal Medya ve Eğlence,Hayır,"Evet, sesli/titreşimde",Nadiren,2.0,3.0,2.0,1.0,1.0,2.0,41.0,11.0
Kadın,18-25,Öğrenci,Yalnız,Orta,6+ Saat,İş/Eğitim,Nadiren,Hayır,Evet,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,Sosyal Medya ve Eğlence,Evet,"Evet, sesli/titreşimde","Evet, düzenli olarak",1.0,2.0,2.0,1.0,1.0,2.0,38.0,9.0
Kadın,18-25,Öğrenci,Yalnız,Orta,6+ Saat,Eğlence/Sosyal Medya,Nadiren,Evet,Evet,2.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda","Evet, düzenli olarak",1.0,2.0,2.0,3.0,2.0,3.0,40.0,13.0
Erkek,26-45,Çalışan,Çekirdek Aile,Orta,2-4 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,Haber okuma ve bilgi edinme,Evet,"Evet, sesli/titreşimde",Nadiren,3.0,1.0,1.0,2.0,1.0,1.0,35.0,9.0
Erkek,46-66,Emekli,Geniş Aile,Orta,4-6 Saat,İş/Eğitim,Nadiren,Hayır,Evet,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,Haber okuma ve bilgi edinme,Hayır,"Evet, sesli/titreşimde",Nadiren,2.0,2.0,1.0,2.0,2.0,1.0,36.0,10.0
Kadın,26-45,Çalışan,Çekirdek Aile,Orta,4-6 Saat,Haberleşme,Nadiren,Hayır,Hayır,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,Haber okuma ve bilgi edinme,Hayır,"Evet, sesli/titreşimde",Nadiren,2.0,1.0,2.0,3.0,3.0,3.0,42.0,14.0
Kadın,18-25,Öğrenci,Çekirdek Aile,Orta,2-4 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,2.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,Sosyal Medya ve Eğlence,Evet,"Hayır, tamamen sessizde veya uçak modunda","Hayır, hiç yok",3.0,3.0,1.0,2.0,2.0,3.0,38.0,14.0
Erkek,18-25,Öğrenci,Çekirdek Aile,Orta,6+ Saat,Eğlence/Sosyal Medya,Hiçbir Zaman,Hayır,Hayır,1.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda",Nadiren,3.0,3.0,2.0,3.0,2.0,1.0,41.0,14.0
Kadın,18-25,Öğrenci,Bakımevi/Yurt,Düşük,2-4 Saat,Eğlence/Sosyal Medya,Sıksık,Hayır,Evet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda","Hayır, hiç yok",2.0,2.0,1.0,1.0,1.0,1.0,20.0,8.0
Erkek,18-25,Öğrenci,Çekirdek Aile,Orta,6+ Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,Sadece önemli kişiler için açık,Nadiren,3.0,3.0,3.0,3.0,3.0,3.0,38.0,18.0
Kadın,18-25,Öğrenci,Yalnız,Düşük,6+ Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Evet,1.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,Sosyal Medya ve Eğlence,Evet,"Evet, sesli/titreşimde",Nadiren,2.0,1.0,2.0,2.0,1.0,1.0,33.0,9.0
Kadın,18-25,Öğrenci,Bakımevi/Yurt,Orta,2-4 Saat,İş/Eğitim,Nadiren,Hayır,Hayır,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda","Hayır, hiç yok",1.0,2.0,1.0,1.0,2.0,2.0,43.0,9.0
Kadın,18-25,Öğrenci,Çekirdek Aile,Orta,4-6 Saat,Eğlence/Sosyal Medya,Hiçbir Zaman,Hayır,Hayır,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda",Nadiren,1.0,2.0,2.0,2.0,2.0,2.0,38.0,11.0
Kadın,18-25,Öğrenci,Çekirdek Aile,Yüksek,4-6 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,Sosyal Medya ve Eğlence,Hayır,"Evet, sesli/titreşimde","Hayır, hiç yok",3.0,3.0,1.0,2.0,1.0,1.0,36.0,11.0
Kadın,18-25,Öğrenci,Yalnız,Orta,2-4 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,Sosyal Medya ve Eğlence,Hayır,Sadece önemli kişiler için açık,Nadiren,2.0,2.0,2.0,3.0,3.0,2.0,42.0,14.0
Kadın,18-25,Öğrenci,Yalnız,Yüksek,4-6 Saat,Vakit Geçirme,Nadiren,Hayır,Hayır,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,Sosyal Medya ve Eğlence,Evet,"Evet, sesli/titreşimde","Evet, düzenli olarak",1.0,1.0,2.0,2.0,2.0,3.0,37.0,11.0
Kadın,18-25,Öğrenci,Yalnız,Yüksek,4-6 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,"Evet, sesli/titreşimde","Evet, düzenli olarak",3.0,1.0,1.0,1.0,3.0,1.0,31.0,10.0
Kadın,18-25,Öğrenci,Çekirdek Aile,Yüksek,4-6 Saat,Vakit Geçirme,Nadiren,Hayır,Evet,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,Sosyal Medya ve Eğlence,Evet,Sadece önemli kişiler için açık,Nadiren,3.0,3.0,1.0,2.0,2.0,1.0,40.0,12.0
Kadın,18-25,Öğrenci,Çekirdek Aile,Yüksek,2-4 Saat,Eğlence/Sosyal Medya,Hiçbir Zaman,Hayır,Hayır,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,Sadece sesli aramalar,Hayır,Sadece önemli kişiler için açık,Nadiren,3.0,1.0,3.0,1.0,2.0,3.0,53.0,13.0
Kadın,18-25,Öğrenci,Yalnız,Orta,6+ Saat,Eğlence/Sosyal Medya,Sıksık,Hayır,Hayır,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,İş veya eğitimle ilgili yazışmalar,Hayır,"Evet, sesli/titreşimde",Nadiren,2.0,2.0,1.0,1.0,1.0,1.0,38.0,8.0
Kadın,26-45,İş Aramıyor/Ev Hanımı,Çekirdek Aile,Orta,6+ Saat,Vakit Geçirme,Sıksık,Hayır,Evet,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda","Hayır, hiç yok",3.0,2.0,1.0,2.0,2.0,1.0,29.0,11.0
Kadın,26-45,Çalışan,Çekirdek Aile,Orta,2-4 Saat,Eğlence/Sosyal Medya,Sıksık,Hayır,Hayır,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda","Hayır, hiç yok",2.0,1.0,1.0,1.0,1.0,2.0,27.0,8.0
Erkek,18-25,Öğrenci,Yalnız,Orta,4-6 Saat,Haberleşme,Nadiren,Hayır,Evet,1.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,Sosyal Medya ve Eğlence,Evet,"Hayır, tamamen sessizde veya uçak modunda",Nadiren,3.0,3.0,2.0,1.0,3.0,3.0,44.0,15.0
Kadın,18-25,Öğrenci,Çekirdek Aile,Orta,6+ Saat,Vakit Geçirme,Nadiren,Hayır,Hayır,3.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,Sosyal Medya ve Eğlence,Evet,Sadece önemli kişiler için açık,Nadiren,1.0,2.0,2.0,1.0,2.0,3.0,40.0,11.0
Erkek,18-25,Öğrenci,Yalnız,Orta,2-4 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,2.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,Sosyal Medya ve Eğlence,Hayır,"Evet, sesli/titreşimde",Nadiren,2.0,2.0,1.0,1.0,3.0,3.0,37.0,12.0
Erkek,18-25,Öğrenci,Çekirdek Aile,Orta,6+ Saat,Eğlence/Sosyal Medya,Nadiren,Evet,Hayır,2.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,Sosyal Medya ve Eğlence,Hayır,Sadece önemli kişiler için açık,Nadiren,3.0,3.0,3.0,3.0,3.0,2.0,45.0,17.0
Kadın,26-45,İş Aramıyor/Ev Hanımı,Çekirdek Aile,Yüksek,0-2 Saat,Haberleşme,Hiçbir Zaman,Hayır,Hayır,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,Haber okuma ve bilgi edinme,Evet,"Hayır, tamamen sessizde veya uçak modunda","Evet, düzenli olarak",3.0,3.0,3.0,3.0,3.0,3.0,54.0,18.0
Erkek,46-66,Emekli,Çekirdek Aile,Orta,0-2 Saat,İş/Eğitim,Nadiren,Hayır,Hayır,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,Haber okuma ve bilgi edinme,Evet,"Evet, sesli/titreşimde",Nadiren,1.0,1.0,1.0,1.0,1.0,1.0,29.0,6.0
Kadın,26-45,İş Aramıyor/Ev Hanımı,Çekirdek Aile,Düşük,0-2 Saat,Haberleşme,Nadiren,Hayır,Hayır,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,Sadece sesli aramalar,Hayır,"Evet, sesli/titreşimde","Evet, düzenli olarak",3.0,3.0,3.0,3.0,2.0,2.0,57.0,16.0
Erkek,18-25,Öğrenci,Çekirdek Aile,Düşük,6+ Saat,İş/Eğitim,Nadiren,Hayır,Hayır,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda",Nadiren,2.0,3.0,1.0,2.0,2.0,1.0,43.0,11.0
Kadın,18-25,Öğrenci,Bakımevi/Yurt,Orta,2-4 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,Sosyal Medya ve Eğlence,Evet,"Hayır, tamamen sessizde veya uçak modunda","Evet, düzenli olarak",3.0,3.0,1.0,3.0,3.0,2.0,49.0,15.0
Kadın,18-25,Çalışan,Bakımevi/Yurt,Orta,4-6 Saat,Vakit Geçirme,Nadiren,Hayır,Hayır,3.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,Sosyal Medya ve Eğlence,Evet,"Evet, sesli/titreşimde",Nadiren,1.0,1.0,2.0,2.0,1.0,2.0,35.0,9.0
Kadın,26-45,İş Aramıyor/Ev Hanımı,Çekirdek Aile,Orta,4-6 Saat,Vakit Geçirme,Nadiren,Hayır,Hayır,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sosyal Medya ve Eğlence,Evet,"Hayır, tamamen sessizde veya uçak modunda",Nadiren,3.0,1.0,1.0,1.0,1.0,1.0,29.0,8.0
Kadın,26-45,İş Aramıyor/Ev Hanımı,Çekirdek Aile,Orta,0-2 Saat,Haberleşme,Nadiren,Hayır,Hayır,2.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,Haber okuma ve bilgi edinme,Hayır,"Evet, sesli/titreşimde",Nadiren,3.0,3.0,2.0,3.0,2.0,3.0,45.0,16.0
Kadın,26-45,Çalışan,Çekirdek Aile,Orta,4-6 Saat,Vakit Geçirme,Nadiren,Hayır,Hayır,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda",Nadiren,3.0,3.0,1.0,2.0,3.0,1.0,39.0,13.0
Kadın,26-45,İş Aramıyor/Ev Hanımı,Çekirdek Aile,Orta,2-4 Saat,Eğlence/Sosyal Medya,Nadiren,Hayır,Hayır,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sosyal Medya ve Eğlence,Hayır,"Hayır, tamamen sessizde veya uçak modunda",Nadiren,1.0,1.0,1.0,1.0,1.0,1.0,21.0,6.0
Erkek,18-25,Öğrenci,Yalnız,Yüksek,4-6 Saat,Eğlence/Sosyal Medya,Nadiren,Evet,Evet,1.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,Sosyal Medya ve Eğlence,Evet,Sadece önemli kişiler için açık,Nadiren,1.0,2.0,3.0,1.0,3.0,2.0,42.0,12.0
